"code_spygen","station","latitude_start","longitude_start","date","mean_sss_1year","median_sss_1year","q95_sss_1year","q05_sss_1year","min_sss_1year","max_sss_1year","mean_sss_5year","median_sss_5year","q95_sss_5year","q05_sss_5year","min_sss_5year","max_sss_5year"
"SPY173267","bouillante_large","16.07855","-61.85716","2018-02-28",35.2571897506714,35.2433109283447,36.0335945129395,34.5742214202881,34.532356262207,36.116024017334,35.2073542277018,35.2707138061523,36.0797454833984,34.1786008834839,33.9449729919434,36.1139526367188
"SPY173268","bouillante_large","16.07855","-61.85716","2018-02-28",35.2571897506714,35.2433109283447,36.0335945129395,34.5742214202881,34.532356262207,36.116024017334,35.2073542277018,35.2707138061523,36.0797454833984,34.1786008834839,33.9449729919434,36.1139526367188
"SPY173281","chateau_petite_terre","16.20771","-61.14683","2018-03-02",35.2564468383789,35.2307949066162,36.0687412261963,34.5394798278809,34.5164680480957,36.1647453308105,35.2700134913127,35.3949565887451,36.1380016326904,34.1214509963989,33.9602699279785,36.176887512207
"SPY173275","fajou","16.359","-61.57521","2018-03-01",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173276","fajou","16.359","-61.57521","2018-03-01",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173273","jardin_eden","16.37651","-61.52821","2018-03-01",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173274","jardin_eden","16.37651","-61.52821","2018-03-01",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173251","petit_cul_de_sac_marin_cote","16.20352","-61.53646","2018-02-25",35.263854329179,35.2422279264869,36.041056926076,34.5791641979683,34.5389247987329,36.1152800583258,35.3000744904113,35.2868976593018,35.9899299947227,34.5642648789941,34.5389247987329,36.1152800583258
"SPY173252","petit_cul_de_sac_marin_cote","16.20352","-61.53646","2018-02-25",35.263854329179,35.2422279264869,36.041056926076,34.5791641979683,34.5389247987329,36.1152800583258,35.3000744904113,35.2868976593018,35.9899299947227,34.5642648789941,34.5389247987329,36.1152800583258
"SPY173250","petit_cul_de_sac_marin_Large","16.15962","-61.50619","2018-02-25",35.2586102258591,35.2377657209124,36.0408274605161,34.5675700369335,34.528816586449,36.1170025780087,35.2946506968716,35.291524160476,35.9881025405157,34.5553791636512,34.528816586449,36.1170025780087
"SPY180501","petit_cul_de_sac_marin_Large","16.15962","-61.50619","2018-02-25",35.2586102258591,35.2377657209124,36.0408274605161,34.5675700369335,34.528816586449,36.1170025780087,35.2946506968716,35.291524160476,35.9881025405157,34.5553791636512,34.528816586449,36.1170025780087
"SPY173282","petite_terre1","16.18316","-61.11949","2018-03-02",35.2564468383789,35.2307949066162,36.0687412261963,34.5394798278809,34.5164680480957,36.1647453308105,35.2700134913127,35.3949565887451,36.1380016326904,34.1214509963989,33.9602699279785,36.176887512207
"SPY173283","petite_terre2","16.17763","-61.09994","2018-03-02",35.2564468383789,35.2307949066162,36.0687412261963,34.5394798278809,34.5164680480957,36.1647453308105,35.2700134913127,35.3949565887451,36.1380016326904,34.1214509963989,33.9602699279785,36.176887512207
"SPY173280","pointe_chateau","16.24619","-61.213","2018-03-02",35.2564468383789,35.2307949066162,36.0687412261963,34.5394798278809,34.5164680480957,36.1647453308105,35.2700134913127,35.3949565887451,36.1380016326904,34.1214509963989,33.9602699279785,36.176887512207
"SPY173259","pointe_ferry","16.2617","-61.82218","2018-02-26",35.2818714777629,35.256555557251,36.0449588775635,34.6107458114624,34.5717697143555,36.1269226074219,35.2462924321493,35.2939357757568,36.0947895050049,34.2222557067871,33.9538269042969,36.162410736084
"SPY173260","pointe_ferry","16.2617","-61.82218","2018-02-26",35.2818714777629,35.256555557251,36.0449588775635,34.6107458114624,34.5717697143555,36.1269226074219,35.2462924321493,35.2939357757568,36.0947895050049,34.2222557067871,33.9538269042969,36.162410736084
"SPY173271","pointe_ferry","16.26194","-61.82252","2018-02-28",35.2818714777629,35.256555557251,36.0449588775635,34.6107458114624,34.5717697143555,36.1269226074219,35.2462924321493,35.2939357757568,36.0947895050049,34.2222557067871,33.9538269042969,36.162410736084
"SPY173272","pointe_ferry","16.26194","-61.82252","2018-02-28",35.2818714777629,35.256555557251,36.0449588775635,34.6107458114624,34.5717697143555,36.1269226074219,35.2462924321493,35.2939357757568,36.0947895050049,34.2222557067871,33.9538269042969,36.162410736084
"SPY173253","riviere_salee","16.2552","-61.54755","2018-02-25",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173254","riviere_salee","16.2552","-61.54755","2018-02-25",35.2724752426147,35.2477569580078,36.0409093856811,34.6012868881226,34.5640563964844,36.105167388916,35.2659508387248,35.329309463501,36.1224515914917,34.2078777313232,33.9477195739746,36.2130279541016
"SPY173255","sec_nord","16.24518","-61.87116","2018-02-26",35.2571897506714,35.2433109283447,36.0335945129395,34.5742214202881,34.532356262207,36.116024017334,35.2073542277018,35.2707138061523,36.0797454833984,34.1786008834839,33.9449729919434,36.1139526367188
"SPY173256","sec_nord","16.24518","-61.87116","2018-02-26",35.2571897506714,35.2433109283447,36.0335945129395,34.5742214202881,34.532356262207,36.116024017334,35.2073542277018,35.2707138061523,36.0797454833984,34.1786008834839,33.9449729919434,36.1139526367188
"SPY173257","sec_sud_1","16.15732","-61.87493","2018-02-26",35.2571897506714,35.2433109283447,36.0335945129395,34.5742214202881,34.532356262207,36.116024017334,35.2073542277018,35.2707138061523,36.0797454833984,34.1786008834839,33.9449729919434,36.1139526367188
