"code_spygen","station","latitude_start","longitude_start","date","mean_DHW_1year","median_DHW_1year","q95_DHW_1year","q05_DHW_1year","min_DHW_1year","max_DHW_1year","mean_DHW_5year","median_DHW_5year","q95_DHW_5year","q05_DHW_5year","min_DHW_5year","max_DHW_5year"
"SPY190594","beach_rock_cassis_4","43.16862","5.54848","2019-07-01",3.12341523073267,0,12.7199997156858,0,0,13.6099996957928,1.27292754306337,0,7.37799983508883,0,0,13.6099996957928
"SPY192281","beach_rock_cassis_5","43.1679","5.54591","2019-07-02",3.1247267061132,0,12.7199997156858,0,0,13.6099996957928,1.27244522703308,0,7.37199983522295,0,0,13.6099996957928
"SPY192286","beach_rock_cassis_5","43.1679","5.54591","2019-07-02",3.1247267061132,0,12.7199997156858,0,0,13.6099996957928,1.27244522703308,0,7.37199983522295,0,0,13.6099996957928
"SPY192315","beach_rock_cassis_5","43.16812","5.54567","2019-07-02",3.1247267061132,0,12.7199997156858,0,0,13.6099996957928,1.27244522703308,0,7.37199983522295,0,0,13.6099996957928
"SPY192322","beach_rock_cassis_6","43.16803","5.545709","2019-07-02",3.1247267061132,0,12.7199997156858,0,0,13.6099996957928,1.27244522703308,0,7.37199983522295,0,0,13.6099996957928
"SPY192313","beach_rock_cassis_6","43.16803","5.545709","2019-07-02",3.1247267061132,0,12.7199997156858,0,0,13.6099996957928,1.27244522703308,0,7.37199983522295,0,0,13.6099996957928
"SPY192304","beach_rock_cassis_6","43.16803","5.545709","2019-07-02",3.1247267061132,0,12.7199997156858,0,0,13.6099996957928,1.27244522703308,0,7.37199983522295,0,0,13.6099996957928
"SPY181884","cap_de_nice_1","43.687017","7.308539","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY180765","cap_de_nice_1","43.687017","7.308539","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY181894","cap_de_nice_1","43.686972","7.30875","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY181910","cap_de_nice_1","43.686972","7.30875","2019-03-19",4.65275945884425,0,19.7799995578825,0,0,20.2699995469302,2.07795966765405,0,13.1099997069687,0,0,20.2699995469302
"SPY180767","cap_de_nice_2","43.68388","7.29903","2019-03-20",4.63887967773372,0,19.5699995625764,0,0,20.2099995482713,2.09552592718732,0,13.3199997022748,0,0,20.2099995482713
"SPY180763","cap_de_nice_3","43.666033","7.252058","2019-03-20",4.63887967773372,0,19.5699995625764,0,0,20.2099995482713,2.09552592718732,0,13.3199997022748,0,0,20.2099995482713
"SPY181904","cap_de_nice_4","43.666033","7.252058","2019-03-20",4.63887967773372,0,19.5699995625764,0,0,20.2099995482713,2.09552592718732,0,13.3199997022748,0,0,20.2099995482713
"SPY181502","cap_de_nice_5","43.68275","7.299033","2019-03-20",4.63887967773372,0,19.5699995625764,0,0,20.2099995482713,2.09552592718732,0,13.3199997022748,0,0,20.2099995482713
"SPY180764","cap_de_nice_6","43.684542","7.299424","2019-03-20",4.63887967773372,0,19.5699995625764,0,0,20.2099995482713,2.09552592718732,0,13.3199997022748,0,0,20.2099995482713
"SPY190607","cap_lardier_1","43.15886","6.62046","2019-07-07",4.84152994642818,0,19.8199995569884,0,0,20.9199995324016,1.78380226455584,0,10.7479997597634,0,0,20.9199995324016
"SPY192291","cap_lardier_1","43.15886","6.62046","2019-07-07",4.84152994642818,0,19.8199995569884,0,0,20.9199995324016,1.78380226455584,0,10.7479997597634,0,0,20.9199995324016
"SPY190558","cap_lardier_1","43.15891","6.6205","2019-07-07",4.84152994642818,0,19.8199995569884,0,0,20.9199995324016,1.78380226455584,0,10.7479997597634,0,0,20.9199995324016
"SPY192296","cap_lardier_2","43.1528","6.61624","2019-07-07",4.84152994642818,0,19.8199995569884,0,0,20.9199995324016,1.78380226455584,0,10.7479997597634,0,0,20.9199995324016
"SPY190602","cap_lardier_2","43.15268","6.61693","2019-07-07",4.84152994642818,0,19.8199995569884,0,0,20.9199995324016,1.78380226455584,0,10.7479997597634,0,0,20.9199995324016
"SPY190601","cap_lardier_2","43.15025","6.6168","2019-07-07",4.84152994642818,0,19.8199995569884,0,0,20.9199995324016,1.78380226455584,0,10.7479997597634,0,0,20.9199995324016
